央视频道,#genre#
云南卫视,http://114.245.198.169:85/tsfile/live/33/1033_1.m3u8?key=txiptv
广西卫视,http://114.241.105.149:85/tsfile/live/46/1046_1.m3u8?key=txiptv
广西卫视,http://61.161.61.119:9004/hls/54/index.m3u8
广西卫视,http://114.245.198.169:85/tsfile/live/46/1046_1.m3u8?key=txiptv
黑龙江卫视,http://61.178.227.57:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://111.61.214.160:7788/738906901
黑龙江卫视,http://120.4.126.153:1234/738906901
黑龙江卫视,http://117.15.157.81:1234/738906901
黑龙江卫视,http://61.161.61.119:9004/hls/33/index.m3u8
黑龙江卫视,http://113.232.12.186:1234/738906901
安徽卫视,http://61.178.227.57:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://114.241.105.149:85/tsfile/live/29/1029_1.m3u8?key=txiptv
安徽卫视,http://123.154.44.162:85/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://61.161.61.119:9004/hls/43/index.m3u8
安徽卫视,http://114.245.198.169:85/tsfile/live/29/1029_1.m3u8?key=txiptv
山西卫视,http://61.178.227.57:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://114.241.105.149:85/tsfile/live/49/1049_1.m3u8?key=txiptv
山西卫视,http://61.161.61.119:9004/hls/53/index.m3u8
山西卫视,http://114.245.198.169:85/tsfile/live/49/1049_1.m3u8?key=txiptv
江西卫视,http://61.178.227.57:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://111.61.214.160:7788/783847495
江西卫视,http://114.241.105.149:85/tsfile/live/37/1037_1.m3u8?key=txiptv
江西卫视,http://120.4.126.153:1234/783847495
江西卫视,http://117.15.157.81:1234/783847495
江西卫视,http://123.154.44.162:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://61.161.61.119:9004/hls/60/index.m3u8
江西卫视,http://114.245.198.169:85/tsfile/live/37/1037_1.m3u8?key=txiptv
江西卫视,http://113.232.12.186:1234/783847495
湖北卫视,http://61.178.227.57:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://111.61.214.160:7788/947472496
湖北卫视,http://120.4.126.153:1234/947472496
